original question,fluent(something you could say in the languege),correct gramatically(correct way to answer the question),correct translation,references,predictions,FL-FC-LF,Synonym Substitution,predictions,FL-FC-LF,Typo,predictions,FL-FC-LF,Rewording,predictions,FL-FC-LF,Code-Switching,predictions,FL-FC-LF
Aká je najväčšia planéta našej slnečnej sústavy?,1,1,1,Najväčšou planétou je Jupiter.,Jupiter je najväčšia planéta slnečnej sústavy.,1-1-1,Ktorá planéta má najväčší rozmer v našej slnečnej sústave?,Jupiter je najväčšia planéta v slnečnej sústave. Jeho povrch je pokrytý vrstvou ľadu a uhlíková stopa je približne 120 krát väčšia ako uhlíková stopa Zeme.,1-1-1,Aká je najväčšia planétta našej slnečnej sústavy?,Jupiter je najväčšia planéta slnečnej sústavy.,1-1-1,Ktorá planéta má najväčší objem v slnečnej sústave?,Jupiter je najväčšia planéta v slnečnej sústave.,1-1-1,Aká je biggest planet našej solar system?,"Jupiter je najväčšia planéta v slnečnom systéme. Jeho povrch je pokrytý vrstvou ľadu a vody, ktorá sa rýchlo mení. Jupiter je tiež najväčšou planétou v slnečnom systéme, s priemerom asi 510 miliónov km.",1-1-1
"Ako sa nazýva skupina planét, ktoré obiehajú okolo hviezdy?",1,1,1,Takáto skupina sa nazýva planetárna sústava.,Skupina planét sa nazýva asteroid.,1-0-1,Ako nazývame skupinu planét obiehajúcich okolo jednej hviezdy?,Skupina planét obiehajúcich okolo jednej hviezdy sa nazýva hviezdovod.,0-0-1,"Ako sa nazýva skupinaa planét, ktoré obiehajú okolo hviezdy?",Skupina planét sa nazýva asteroid.,1-0-1,Ako sa volá systém planét rotujúcich okolo hviezdy?,Systém planét rotujúcich okolo hviezdy sa nazýva slnečná sústava.,1-1-1,"Ako sa nazýva group of planets, ktoré obiehajú okolo star?",Skupina planét sa nazýva asteroid.,1-0-1
"Prečo sa zdá, že Slnko vychádza na východe a zapadá na západe?",0,1,1,"Pretože Zem sa otáča zo západu na východ, čo spôsobuje, že Slnko sa z nášho pohľadu pohybuje po oblohe od východu na západ.","Slnko je hviezda a pohybuje sa v osi okolo Zeme. Jeho pozícia v osi spôsobuje, že sa zdá, že vychádza na východe a zapadá na západe.",1-1-1,"Prečo sa nám zdá, že Slnko vychádza na východnej strane a zapadá na západnej?","Slnko je hviezda a jeho dráha je ovplyvnená polohou Zeme na jej obežnej dráhe. Slnko je na východe a na západe, pretože je na obežnej dráhe bližšie k Zemi. Keď sa Slnko otočí okolo svojej osi, zdá sa, že vychádza na východnej strane a zapadá na západnej strane. To je preto, že Slnko je stále na obežnej dráhe a jeho pozícia na obež",1-0-1,"Prečo sa zdá, že Slnkoo vychádza na východe a zapadá na západe?","Slnko je hviezda v našej slnečnej sústave. Slnko je hviezda v našej slnečnej sústave, pretože je to hviezda v našej slnečnej sústave, ktorá je najbližšia slnku. Slnko je tiež hviezda v našej slnečnej sústave, pretože je to hviezda v našej slnečnej sústave, ktorá je najďalej od Slnka. Slnko je hviezda v našej slnečnej sústave, pretože je to hviezda v našej slnečnej",0-0-1,Prečo sa Slnko zdá vychádzať na východe a zapadať na západe?,"Slnko je v podstate hviezda, ktorá sa pohybuje v kruhovom tvare okolo svojej osi. Jeho kruhový tvar spôsobuje, že sa zdá vychádzať na východe a zapadať na západe.",1-0-1,"Prečo sa zdá, že Sun rises na východe a sets na západe?","Slnko sa pohybuje v kruhovom oblúku okolo Zeme. Oblúk je taký, že slnko sa zdá vychádzať na východe a zapadá na západe. Keď sa otočíte okolo oblúka, vidíte, ako sa slnko pohybuje smerom k východu a smerom k západu.",1-1-1
Čo je čierna diera?,1,1,1,"Čierna diera je vesmírny objekt s takou silnou gravitáciou, že nič, ani svetlo, nemôže uniknúť z jeho gravitačného poľa.","čierna diera je objekt vo vesmíre, ktorý sa stáva obrovským a rýchlo sa pohybujúcim objektom, ktorý absorbuje všetko svetlo a hmotu vo svojom okolí.",1-1-1,Čo nazývame čiernou dierou?,"čierna diera je objekt v hviezdnom vesmíre, ktorý sa stáva obrovským a ťažko sa pohybuje, až sa jeho gravitácia stane tak hrubá, že sa jeho hmota rozptýli a stane sa tak ťažko dostupná, že sa jeho okolie stane neviditeľným.",1-1-1,Čo je čierna dieera?,"Čierny diera je hlboký otvor v stene, ktorý sa môže otvoriť a otvoriť, aby sa dostal do iného priestoru.",0-0-1,Čo rozumieme pod pojmom čierna diera?,"čierna diera je objekt v hviezdnom vesmíre, ktorý sa stáva obrovským a ťažko sa pohybuje, až kým sa jeho gravitácia nedotkne jeho okolia.",1-1-1,Čo je black hole?,"Black hole je hviezda, ktorá sa stáva veľmi tmavou a hmotnou, keď sa blíži k okraju svojej hmotnosti. Je to taká tmavá, že jeho svetlo sa môže pohybovať len v obrovskom množstve energie. Preto, keď sa blíži k okraju svojej hmotnosti, jeho hmotnosť sa stáva veľmi nízkou.",1-1-0
Čo je galaxia?,1,1,1,"Galaxia je obrovský systém hviezd, plynu, prachu a tmavej hmoty, ktoré sú spolu držané gravitáciou.","Galaxia je súbor hviezd, ktoré sa pohybujú v obrovskom priestore. Galaxie sa môžu pohybovať v rôznych smeroch, a môžu mať rôzne veľkosti a tvary. Niektoré galaxie sú oveľa väčšie ako iné, a môžu mať rôzne tvary a veľkosti. Galaxie sa môžu pohybovať v rôznych smeroch, a môžu mať rôzne veľkosti a tvary. Niektoré galaxie sú",1-1-1,Ako definujeme galaxiu?,"Galaxia je súbor hviezd, ktoré sa pohybujú v kruhovom tvare a tvoria hviezdny systém. Galaxie sa môžu pohybovať v rôznych smeroch, vrátane pohybu okolo hviezd, pohybu okolo hviezd a pohybu okolo hviezd. Galaxie sú veľmi rôznorodé a môžu mať veľa tvarov a veľkostí. Niektoré galaxie sú známe ako hviezdne gule, zatiaľ čo iné sa nazývajú galaxie.",1-1-1,Čo je galxia?,"Galaxia je súbor galaxií, ktoré sa nachádzajú v rôznych častiach vesmíru. Galaxie sa môžu nachádzať v rôznych častiach vesmíru, vrátane galaxie nášho Slnka, galaxie galaxie galaxie galaxie galaxie galaxie galaxie galaxie galaxie galaxie galaxie galaxie galaxie galaxie galaxie galaxie galaxie galaxie galaxie galaxie galaxie galaxie galaxie galaxie galaxie galaxie galaxie galaxie galaxie galaxie galaxie galaxie galaxie galaxie galaxie galax",1-1-1,Čo je definícia galaxie?,"Galaxie je súbor hviezd, ktoré sa pohybujú v obrovskom priestore. Galaxie sa môžu skladať z rôznych typov hviezd, vrátane hviezd s hmotnosťou miliónov a miliard hmotností, hviezd s hmotnosťou miliónov a miliard hmotností a hviezd s hmotnosťou miliónov a miliard hmotností. Galaxie sa môžu pohybovať v rôznych smeroch, vrátane pohybu v oblastiach s nízkou hustotou, pohybu",1-1-1,Čo je galaxy?,"Galaxie sú skupiny hviezd, ktoré sa navzájom dopĺňajú a tvoria hviezdne sústavy. Galaxie sa môžu skladať z rôznych typov hviezd, ako sú hviezdy, ktoré sa pohybujú v rôznych smeroch, alebo hviezdy, ktoré sa pohybujú v rôznych časových pásmach.",1-1-1
Čo je to kométa?,1,1,1,"Kométa je malé teleso zložené z ľadu a prachu, ktoré obieha okolo Slnka a pri priblížení k nemu vytvára chvost.","Kométa je hviezda, ktorá sa pohybuje v blízkosti Slnka a má krátke, biele alebo čierne sfarbenie. Má krátke, biele alebo čierne sfarbenie a je to hviezda s krátkym, tmavým alebo čiernym okrajom. Kométy sú známe svojou schopnosťou odrážať svetlo a môžu byť viditeľné z Zeme. Sú tiež známe svojou schopnosťou odrážať vodu a",1-0-1,Čo predstavuje kométa?,"Kométa je malá, mäkká guľatá hmota, ktorá sa môže pohybovať v rôznych smeroch. Je to často spôsobené gravitáciou a je to hviezda v našej slnečnej sústave. Kométy sú veľmi nebezpečné, pretože môžu spôsobiť vážne škody na Zemi a môžu byť zničené jadrovými výbojmi.",1-1-1,Čo je to kometta?,"Komety sú hviezdy, ktoré sa pohybujú v blízkosti Slnka a môžu mať veľkú hmotnosť. Sú to hviezdy, ktoré sú stále v pohybe a môžu byť viditeľné z Zeme. Komety sú známe svojou rýchlosťou a rýchlosťou pohybu.",1-0-1,Ako nazývame vesmírne teleso známe ako kométa?,Kométy sú známe ako krátery.,1-0-1,Čo je to comet?,"Comet je malá hviezda, ktorá sa nachádza v strede hviezdneho systému a je zodpovedná za osvetlenie všetkých ostatných hviezd.",1-0-0
Aká je najväčšia hviezda našej slnečnej sústavy?,1,1,1,Najväčšou hviezdou našej slnečnej sústavy je Slnko.,"Hlavnou hviezdou našej slnečnej sústavy je hviezda menom α Canis Majoris a je to hviezda s hmotnosťou približne 4,5 krát hmotnosť Slnka.",1-0-1,Ktorá hviezda je najväčšia v rámci nášho slnečného systému?,"Najväčšou hviezdou v našom slnečnom systéme je hviezda Alfa Centauri, ktorá je o 25% väčšia ako Slnko.",1-0-1,Aká je najväčšia hviiezda našej slnečnej sústavy?,"Hlavnou hviezdou našej slnečnej sústavy je hviezda Alfa Centauri, ktorá je o 25% väčšia ako Slnko.",1-0-1,Ktorá hviezda má najväčšiu veľkosť v našej slnečnej sústave?,"Najväčšou hviezdou v našej slnečnej sústave je hviezda s názvom Gliese 581, ktorá je o 25% väčšia ako Slnko.",1-0-1,Aká je largest star našej slnečnej sústavy?,"Hlavnou hviezdou našej slnečnej sústavy je hviezda menom α Canis Majoris a je to hviezda s hmotnosťou približne 4,5 krát hmotnosť Slnka.",1-0-1
Kto bol prvým cisárom Číny?,1,1,1,Prvým cisárom zjednotenej Číny bol Čchin Š'-chuang-ti.,Čching Šing-tchu bol prvým cisárom Číny.,1-1-1,Kto bol historicky prvým cisárom Číny?,Čching Šing-tchu bol prvým cisárom Číny.,1-1-1,Kto bol prvým cisároom Číny?,Kráľ Čching,1-1-1,Kto bol historicky známy ako prvý cisár v Číne?,Kráľ Čching,1-1-1,Kto bol first emperor Číny?,"Čching Čching-tchuen bol prvým čínskym cisárskym cisárom. Bol známy svojou vojenskou a diplomatickou politikou a jeho vládou sa stalo známym ako ""Čínska revolúcia"".",1-1-1
Ktoré mesto bolo prvým hlavným mestom Spojených štátov amerických?,1,1,1,Prvým hlavným mestom USA bola Philadelphia.,Filadelfia bola prvým hlavným mestom Spojených štátov amerických.,1-1-1,Ktoré mesto bolo pôvodným hlavným mestom USA?,Filadelfia bola pôvodným hlavným mestom USA.,1-1-1,Ktoré mesto bolo prrvým hlavným mestom Spojených štátov amerických?,Filadelfia bola prvou hlavnou mestom Spojených štátov amerických.,1-1-1,Ktoré mesto bolo prvým sídlom vlády Spojených štátov?,Filadelfia,1-1-1,Ktoré city bolo prvým capital Spojených štátov amerických?,Filadelfia bola prvým hlavným mestom Spojených štátov amerických.,1-1-1
V ktorom roku vyhlásili Spojené štáty nezávislosť?,1,1,1,V roku 1776.,Rok 1776,1-1-1,V ktorom roku Spojené štáty získali nezávislosť?,Spojené štáty získali nezávislosť od Britského impéria 4. júla 1783.,1-0-1,V ktorom roku vyhlásili Spojeené štáty nezávislosť?,Rok 1776,1-1-1,Kedy Spojené štáty vyhlásili svoju nezávislosť?,4. júla 1776,1-1-1,V ktorom roku declared Spojené štáty independence?,Rok 1776,1-1-1
V ktorom roku prvýkrát pristál človek na Mesiaci?,1,1,1,V roku 1969.,Rok 1969,1-1-1,Kedy sa človek po prvýkrát ocitol na Mesiaci?,Rok 1969,1-1-1,V ktoromm roku prvýkrát pristál človek na Mesiacci?,Rok 1969,1-1-1,V ktorom roku človek prvý raz pristál na Mesiaci?,Rok 1969,1-1-1,V ktorom roku first landed human na Moon?,Rok 1969,1-1-1
Ktorá ríša bola najväčšou súvislou suchozemskou ríšou v histórii?,1,1,1,Mongolská ríša.,"Rímska ríša bola najväčšou súvislou suchozemskou ríšou v histórii. Obývala veľkú časť západnej Európy, Ázie a Afriky a trvala od roku 476 do roku 1453.",1-0-1,Ktorá ríša mala najrozsiahlejšie súvislé územie v dejinách?,Ríša Mongolov mala najrozsiahlejšie súvislé územie v dejinách. Mongolská ríša sa rozprestierala od severozápadu Ázie cez Balkán až po juhovýchod Európy. Ríša sa rozšírila od východného Balkánu cez Balkán až po západnú Áziu. Mongolská ríša bola založená v roku 1206 a trvala asi 400 rokov. Ríša bola známa svojou vojenskou silou a obrovskou armádou. Ríša bola tiež,1-1-1,Ktorá ríša bola najväčšou suuvislou suchozemskou ríšou v histórii?,Rímska ríša bola najväčšou suchozemskou ríšou v histórii. Obklopovala veľkú časť západnej Európy a západnej Ázie a trvala od roku 476 do roku 1453.,1-0-1,Ktorá ríša zaberala najrozsiahlejšie súvislé územie v histórii?,"Ríša Mongolov bola najrozsiahlejšou súvislou ríšou v histórii. Obývala územie od západného Balkánu cez Balkánske more až po východný Tichý oceán. Mongolská ríša trvala od roku 1206 do roku 1368 a jej hlavným mestom bol Bagdad. Ríša bola rozdelená na niekoľko rôznych ríš, vrátane Mongolskej ríše, Mongolskej ríše a Mongolskej ríše. Mongolská ríša bola najväčšou",1-1-1,Ktorá empire bola najväčšou contiguous land ríšou v histórii?,"Britské impérium bolo najväčšou contiguous land ríšou v histórii. Britské impérium sa rozprestieralo od západného pobrežia Severnej Ameriky až po východný okraj Ázie. Britské impérium bolo založené v roku 1707 a trvalo až do roku 1939, keď sa rozpadlo. Britské impérium bolo ovplyvnené rôznymi faktormi, vrátane vojny, hospodárskej krízy a sociálnych a politických zmien. Britské impérium bolo tiež",1-0-0
Ktorá staroegyptská stavba je známa svojím trojuholníkovým tvarom?,1,1,1,Pyramída – najznámejšia je Veľká pyramída v Gíze.,Gizejské chrámy,1-0-1,Ktorá egyptská stavba má typický tvar trojuholníka?,Gizejské a alexandrijské chrámy majú typický tvar trojuholníka.,1-0-1,Ktorá staroegyptská stavba je známa svojím trojuholníkovým tvaromm?,Gizejské chrámy,1-0-1,Ktorá stavba z obdobia starého Egypta má tvar trojuholníka?,Gizejské chrámy,1-0-1,Ktorá ancient Egyptian structure je známa svojím triangular shape?,Gizejské chrámy,1-0-1
Kto bol predsedom vlády Británie počas väčšiny druhej svetovej vojny?,1,1,1,Winston Churchill.,Winston Churchill bol britským premiérom počas väčšiny druhej svetovej vojny.,1-1-1,Kto viedol britskú vládu počas väčšiny druhej svetovej vojny?,Winston Churchill bol britským premiérom počas väčšiny druhej svetovej vojny.,1-1-1,Kto bol predsedom vlády Británie počas väčšiny druhej svetvoej vojny?,Winston Churchill bol britským premiérom počas väčšiny druhej svetovej vojny.,1-1-1,Kto viedol britskú vládu počas druhej svetovej vojny?,Winston Churchill bol britským premiérom počas druhej svetovej vojny.,1-1-1,Kto bol prime minister Británie počas väčšiny WWII?,Winston Churchill bol britským premiérom počas väčšiny druhej svetovej vojny.,1-1-1
V ktorom roku sa potopil Titanic?,1,1,1,V roku 1912.,Titanic sa potopil v roku 1912.,1-1-1,Kedy došlo k potopeniu Titanicu?,Titanic sa potopil 14. apríla 1912.,1-1-1,V ktorom roku sa potopill Titanic?,Titanic sa potopil v roku 1912.,1-1-1,Kedy sa potopila známa loď Titanic?,Titanic sa potopil 14. apríla 1912.,1-1-1,V ktorom roku sank Titanic?,Titanic sa potopil v roku 1912.,1-1-1
Kto bol prvým černošským prezidentom Južnej Afriky?,1,1,1,Nelson Mandela.,Nelson Mandela,1-1-1,Kto sa stal prvým prezidentom Južnej Afriky tmavej pleti?,Cyril Ramaphosa,1-0-1,Kto bol prvým černnošským prezidentom Južnej Afriky?,"F.W. de Klerk bol prvým černošským prezidentom Južnej Afriky. Bol prezidentom od roku 1961 do roku 1966 a bol tiež predsedom strany Africkej národnej únie (ANC). Bol tiež prvým prezidentom, ktorý bol zvolený za prezidenta čiernej osoby. Bol tiež prvým prezidentom, ktorý bol zvolený za prezidenta čiernej osoby. Bol tiež prvým prezidentom, ktorý bol zvolený za prezidenta čiernej osoby. Bol tiež prv",1-0-1,Kto sa stal prvým prezidentom Južnej Afriky tmavej pleti?,Cyril Ramaphosa,1-0-1,Kto bol first black prezidentom Južnej Afriky?,Cyril Ramaphosa,1-0-1
V ktorom roku sa odohrala ruská revolúcia?,1,1,1,V roku 1917.,November 1917,1-1-1,V ktorom roku prebehla revolúcia v Rusku?,November 1917,1-1-1,V ktorom roku sa odohralaa ruská revolúcia?,November 1917,1-1-1,V ktorom roku vypukla revolúcia v Rusku?,November 1917,1-1-1,V ktorom roku sa odohrala Russian revolution?,November 1917,1-1-1
Aký je súčet desať a päť?,0,1,0,15,Súčet desať a päť je 15.,1-1-1,Aký je výsledok sčítania čísla desať a päť?,Číslo 15,1-1-1,Aký je súčet desaať a päť?,Súčet desaať a päť je dvadsať.,1-1-1,"Aký bude výsledok, keď spočítame desať a päť?",Výsledok je 15.,1-1-1,Aký je sum of ten and five?,Číslo 15,1-1-1
Koľko je sedem násobené tromi?,1,1,1,21,Číslo sedem násobené tromi je dvanásť.,1-0-1,"Koľko dostaneme, keď vynásobíme sedem tromi?",7 krát 3 je rovné 21.,1-1-1,Koľko je sedemm násobené tromi?,7 krát 3 je 21.,1-1-1,"Koľko dostaneme, keď sedem vynásobíme tromi?",7 krát 3 je rovné 21.,1-1-1,Koľko je seven times three?,Číslo sedemkrát tri je dvanásť.,1-0-1
Aká je druhá odmocnina zo šestnástich?,1,1,1,4,Druhá odmocnina zo šestnástich je osem.,1-0-1,Ktoré číslo je druhou odmocninou zo šestnástky?,Druhá odmocnina zo šestnástky je deväť.,1-0-1,Aká je druhá odmocninna zo šestnástich?,Druhá odmocnina zo šestnástich je osem.,1-0-1,Ktoré číslo je druhou odmocninou čísla šestnásť?,Číslo druhou odmocninou čísla šestnásť je päť.,1-0-1,Aká je square root zo šestnástich?,Square root zo šestnástich je osem.,1-0-0
"Ak by ste od pätnástich odčítali osem, aký by bol výsledok?",1,1,1,7,Číslo sedem.,1-1-1,"Ak od čísla pätnásť odrátame osem, čo dostaneme?",Odpoveď je sedem.,1-1-1,"Ak by ste od pätnástich odčítali osm, aký by bol výsledokk?",Odpoveď je sedem.,1-1-1,"Aké číslo vznikne, ak od pätnástich odrátame osem?","Číslo, ktoré získate, je sedemnásť.",1-0-1,"Ak by ste od fifteen odčítali eight, aký by bol result?",Číslo 7,1-1-1
Aká je hodnota dvadsať delená štyrmi?,1,1,1,5,Dvadsať delené štyrmi sa dá vyjadriť ako 120.,1-0-1,"Ako znie výsledok, keď číslo dvadsať vydelíme štyrmi?",Výsledok je päťdesiat.,1-0-1,Aká je hodnota dvaddsať delená štyrmi?,Dvadsať delené štyrmi je rovnako ako dvadsať delené dvoma.,1-0-1,"Na aké číslo dostaneme výsledok, keď vydelíme dvadsať štyrmi?",Dvadsať štyrmi vydelíme sedemdesiat.,1-0-1,Aká je value dvadsať divided by four?,Dvadsať divided by four je rovnako ako štyridsať.,0-0-1
Aký je súčin šestky a deviatky?,1,1,1,54,"Súčin šestky a deviatky je 158. Šesťdesiatka a deväťdesiatka sú dve čísla, ktoré sa dajú sčítať, aby sa vytvorila táto kombinácia. Súčin týchto dvoch čísel je 158. Preto je súčin šestky a deviatky 158.",1-0-1,Čomu sa rovná násobok čísla šesť a deväť?,"Násobok čísla šesť a deväť je rovnaký ako sedem. Je to preto, že násobok čísla šesť a deväť je rovnaký ako sedem, čo znamená, že násobok čísla šesť a deväť je rovnaký ako sedem. Môžete tiež použiť tento vzorec na vyjadrenie násobok čísla šesť a deväť: 6 krát 9 = 36 Preto je násobok čísla šesť a deväť rovnaký ako 36.",1-0-1,Aký je súčin šestkky a deviatky?,Súčin šestky a deviatky je 158. 6 + 9 = 158,1-0-1,Aké číslo získame vynásobením šesť a deväť?,Osem.,1-0-1,Aký je product of six a nine?,Číslo 6 a 9 je 18.,1-0-1
"Koľko dostanete, keď pridáte dvanásť a osemnásť?",1,1,1,30,Číslo 19,1-0-1,Koľko je spolu dvanásť plus osemnásť?,Číslo je dvadsaťdva.,1-0-1,"Koľko dostanete, keď priddáte dvanásť a osemnásť?",Číslo 19,1-0-1,Koľko dostaneme po sčítaní dvanásť a osemnásť?,Číslo 18,1-0-1,"Koľko dostanete, keď add dvanásť a osemnásť?",Číslo 18,1-0-1
"Aký je kvocient, keď vydelíte tridsať piatimi?",1,1,1,6,"Kvocient, keď vydelíte tridsať piatimi, je päť.",1-0-1,"Aké číslo dostaneme, keď tridsať vydelíme piatimi?","Prvé číslo, ktoré dostaneme, je päťdesiat. Preto sa môžeme deliť tridsať piatimi, aby sme dostali päťdesiat.",0-0-1,"Aký je kvocient, keď vydelitte tridsať piatimi?","Kvocient je 1,25.",1-0-1,Aké číslo dostaneme delením tridsať piatimi?,Delenie tridsať piatimi dáva päťdesiat.,0-0-1,"Aký je quotient, keď divide tridsať piatimi?","Quotient je číslo, ktoré sa dá nájsť delením určitého čísla na jeho polovicu. V tomto prípade je quotient 30 a polovica je 30.",0-0-0
"Ak pridáte štvorec troch ku štvorcu štyroch, aký je výsledok?",0,1,0,25,"Prvá. Tri štvorce sú rovnaké ako štyri. Druhý. Štvorcové štyri je rovnaké ako štvorcové tri. Tretia. Ak pridáte tri štvorce k štyrom štvorcom, dostanete šesť.",0-0-1,"Ak spočítame druhú mocninu čísla tri a štyri, aký bude výsledok?",Druhá mocnosť čísla tri a štyri,0-0-1,"Ak pridáte štvorecc troch ku štvorcu štyroch, aký je vysledok?",Odpoveď je sedem.,1-0-1,"Ak spočítame druhú mocninu trojky a štvorky, čo vyjde?","Prvá mocnosť trojky a štvorky je 3. Preto ak spočítame druhú mocnosť trojky a štvorky, dostaneme: (3 * 4) + (3 * 3) = 9 + 9 = 18 Druhý mocniny trojky a štvorky sú: 18 - 3 = 13",0-0-1,"Ak pridáte square of three ku square of four, aký je result?",Plocha trojnásobku je päť.,1-0-1
"Aký je zvyšok, keď vydelíte sedemnásť siedmimi?",1,1,1,3,Zvyšok je sedem.,1-0-1,"Aký zvyšok zostane, keď sedemnásť delíme siedmimi?",Zostaňte s ôsmimi.,0-0-1,"Aký je zvyšok, keď vydelite sedemnásť siedmymi?","Zvyšok je 158. 17/7 = 158 / 7 = 7 / 7 = 0,25.",1-0-1,"Čo zostane ako zvyšok, keď delíme sedemnásť siedmimi?","Zostaňte s pätnástimi. 17/7 = 1,9 krát 17.",0-0-1,"Aký je remainder, keď divide sedemnásť siedmimi?","Remainder je 158. 17/7 je rovnaké ako 158, čo je rovnaké ako 158.",0-0-0
,,,,,,"FL=47x1s,FC=26x1s,LF=49x1s",,,"FL=45x1s,FC=28x1s,LF=49x1s",,,"FL=46x1s,FC=21x1s,LF=50x1s",,,"FL=46x1s,FC=27x1s,LF=50x1s",,,"FL=45x1s,FC=25x1s,LF=39x1s"