prompt,fluent(something you could say in the languege),correct gramatically(correct way to ask the question),correct translation,references,original question,predictions,FL-FC-LF,Synonym Substitution,predictions,FL-FC-LF,Typo,predictions,FL-FC-LF,Rewording,predictions,FL-FC-LF,Code-Switching,predictions,FL-FC-LF,,,,,Jak wygląda wzór chemiczny wody? <pad> Wzór chemiczny wody to H2O.</s>
Jak nazywa się najbliższa Ziemi gwiazda?,1,1,1,Najbliższą gwiazdą względem Ziemi jest Słońce.,Jak nazywa się najbliższa Ziemi gwiazda?,"Gwiazda, która jest najbliższa Ziemi, nazywa się Proxima Centauri.",1-0-1,Która gwiazda jest położona najbliżej Ziemi?,"Gwiazda, która jest najbliżej Ziemi, to Proxima Centauri, czyli gwiazda o średnicy około 4,5 miliona kilometrów.",1-0-1,Jak nazywa się najbliższa Zieemi gwiazda?,"Gwiazda, która jest najbliżej Ziemi, nazywa się Proxima Centauri.",1-0-1,Co jest najbliższą Ziemi gwiazdą?,"Gwiazda, która jest najbliżej Ziemi, to Proxima Centauri, która znajduje się w odległości około 150 milionów lat świetlnych.",1-0-1,Jak nazywa się closest gwiazda Ziemi?,"Gwiazda, która jest najbliżej Ziemi, nazywa się Proxima Centauri.",1-0-1,,,,,"Jakim gazem wdychamy, aby przezyźć? <pad> Wdychamy tlen, aby przetrwać.</s>"
Co to jest rok świetlny?,1,1,1,"Rok świetlny to odległość, jaką światło pokonuje w próżni w ciągu jednego roku.",Co to jest rok świetlny?,"Rok świetlny to czas, jaki zajmuje podróż planety wokół Słońca.",1-0-1,Czym jest jednostka zwana rokiem świetlnym?,"Rok świetlny to jednostka astronomiczna, która oznacza odległość, jaką światło przechodzi przez jeden punkt na Ziemi.",1-0-1,Co to jeest rok świetnly?,"Rok świetny to czas, w którym Ziemia znajduje się w określonym stanie równowagi.",1-0-1,"Jak nazywamy odległość, jaką pokonuje światło w rok?",Jest to odległość około 299 792 458 metrów.,1-0-1,Co to jest light year?,Jedna roczna świetlna (lub rok światła) to czas potrzebny na przejechanie jednego okręgu wokół Słońca.,1-0-1,,,,,"Jaki gaz musimy wdychać, żeby żyć? <pad> Wdychamy tlen.</s>"
Ile księżyców ma Ziemia?,1,1,1,"Ziemia ma jeden naturalny księżyc, zwany Księżycem.",Ile księżyców ma Ziemia?,Ziemia ma dwa księżyce.,1-0-1,Jaka jest liczba naturalnych satelitów Ziemi?,Dwa: Wenus i Mars.,1-0-1,Ile ksieżyców ma Ziemia?,Ziemia ma jeden księżyc.,1-1-1,Jak dużo księżyców krąży wokół Ziemi?,W 2023 roku wokół Ziemi krąży 93 księżyce.,1-0-1,Ile moons ma Ziemia?,Ma Ziemia turi du mėnesius.,0-0-0,,,,,"Jakim gasem we inhale to survive? <pad> Gas, ki ga dihamo, je kisik.</s>"
Jaka jest największa planeta w naszym Układzie Słonecznym?,1,1,1,Największą planetą jest Jowisz.,Jaka jest największa planeta w naszym Układzie Słonecznym?,Wszechświat jest największym obiektem w naszym Układzie Słonecznym. Jego powierzchnia wynosi 120 razy większa niż Ziemia.,0-0-1,Która planeta jest największa w Układzie Słonecznym?,"Wszechświat jest ogromnym miejscem i może być bardzo zróżnicowany. W zależności od tego, która planeta jest najbliżej Słońca, może być uważana za największą planetę w Układzie Słonecznym. Jeśli chodzi o planety w układzie Słonecznym, największą planetą jest Wenus. Wenus jest trzecią planetą w Układzie Słonecznym i jest największym obiektem w układzie. Jest również największ",1-0-1,Jaka jest najwększa planeta w naszym Ukladzie Słonczenym?,"Wszechświat Wenus jest najwększym obiektem w naszym Układzie Słonczym. Jego masa wynosi około 4,5 razy większa od masy Ziemi.",0-0-1,Która planeta w naszym Układzie Słonecznym jest największa?,Słońce.,1-0-1,Jaka jest największa planet w Układzie Słonecznym?,Wszechświat jest największym obiektem w Układzie Słonecznym. Jego powierzchnia wynosi 120 razy większa niż Ziemia.,1-0-1,,,,,W którym zjawisku ciecz staje się gazem bez osiągania temperatury wrzenia? <pad> W stanie ciekłym.</s>
Jak nazywa się grupa planet krążących wokół gwiazdy?,1,1,1,Taka grupa nazywa się układem planetarnym.,Jak nazywa się grupa planet krążących wokół gwiazdy?,Grupa planet nazywa się ewolucją.,1-0-1,Jak określamy zespół planet otaczających gwiazdę?,Zespół planet otaczających gwiazdę nazywa się ekosystemem.,1-0-1,Jak nazywa się grupa planett krążących wółok gwiazdy?,Grupa planet nazywa się gromadą.,1-0-1,Co to jest zbiór planet krążących wokół jednej gwiazdy?,Grupa planet krążących wokół jednej gwiazdy nazywa się ekliptiką.,1-0-1,Jak nazywa się system planet wokół gwiazdy?,System planet wokół gwiazdy nazywa się układem planet.,1-1-1,,,,,W jakim procesie ciecz zamienia się w gaz ponizej temperatury wrzeniaa? <pad> Sublimacja</s>
Dlaczego Słońce wydaje się wschodzić na wschodzie i zachodzić na zachodzie?,1,1,1,"Ponieważ Ziemia obraca się z zachodu na wschód, Słońce wydaje się wschodzić na wschodzie i zachodzić na zachodzie.",Dlaczego Słońce wydaje się wschodzić na wschodzie i zachodzić na zachodzie?,"Słońce jest gwiazdą w układzie Słońce-Mgła. Słońce jest około 23,5 stopnia w stosunku do osi swego okręgu. W związku z tym, kiedy Słońce wschodzi na wschodzie, a zachodzi na zachodzie, okręg wokół Słońca jest bliżej osi swego okręgu niż okręg wokół Słońca. Dlatego Słońce wydaje się wschodzić na wschodzie",1-0-1,"Czemu widzimy Słońce, jakby się podnosiło rano i znikało wieczorem?",Słońce jest gwiazdą w naszym układzie Słońce jest gwiazdą w naszym układzie Słońce jest gwiazdą w naszym układzie Słońce jest gwiazdą w naszym układzie Słońce jest gwiazdą w naszym układzie Słońce jest gwiazdą w naszym układzie Słońce jest gwiazdą w naszym układzie Słońce jest gwiazdą w naszym układzie Słońce jest gwiazdą w naszym układzie Słońc,1-0-1,Dlaczeco Słońce wydaje się wschozić na wshcodzie i zach0dzić na zachodzie?,Słońce wschodzi na wschodzie i zachodzi na zachodzie.,1-0-1,"Co powoduje, że Słońce pojawia się na wschodzie i znika na zachodzie?","Słońce jest gwiazdą w układzie Słońce-Mgła. Słońce jest gwiazdą w układzie Słońce-Mgła, ponieważ jest gwiazdą w układzie Słońce-Mgła. Słońce jest gwiazdą w układzie Słońce-Mgła, ponieważ jest gwiazdą w układzie Słońce-Mgła. Słońce jest gwiazdą w układzie Słońce-Mgła, ponieważ jest gwiazdą w układzie Słońc",1-0-1,Dlaczego Słońce rises na wschodzie i sets na zachodzie?,"Słońce jest w orbicie wokół Ziemi. Obrót Ziemi jest taki, że Słońce zawsze świeci w kierunku wschodnim i zachodzi w kierunku zachodnim.",1-0-1,,,,,"Jak nazywa się proces zmiany cieczy w gaz, zanim zacznie wrzeć? <pad> Sublimacja</s>"
Co to jest czarna dziura?,1,1,1,"Czarna dziura to obiekt w kosmosie o tak silnej grawitacji, że nic, nawet światło, nie może się z niej wydostać.",Co to jest czarna dziura?,"Czarna dziura to ogromny obszar przestrzeni kosmicznej, w którym energia jest tak niska, że nie może być uwolniona przez żadne inne ciało.",1-0-1,"Czym jest obszar, z którego nic nie ucieknie, nawet światło?","Obszar, z którego nic nie ucieknie, nawet światło, to obszar fizyczny, w którym wszystkie cząsteczki są równoległe i nie mogą się od siebie oddzielić. Jest to obszar, w którym wszystkie cząsteczki są równoległe i nie mogą się od siebie oddzielić, ponieważ wszystkie cząsteczki są równoległe i nie mogą się od siebie oddzielić. Obszar ten jest znany jako wszechświat lub wszech",0-0-1,Co to jeest czarna dzióra?,"Czarna dziura to ogromny obszar w kosmosie, który jest źródłem energii i tlenu dla wielu galaktyk. Jest to najbardziej gęsta i najbardziej gęsta forma życia w wszechświecie, a jej gęstość może przekroczyć 10 miliardów kilometrów sześciennych. Czarne dziury są ogromne i gęste, a ich gęstość może przekroczyć 10 miliardów kilometrów sześciennych. Czarne dziury",0-0-1,"Jak nazywa się miejsce w przestrzeni, które pochłania wszystko wokół?",Czarna dziura.,1-1-1,Co to jest black hole?,"Czarna dziura to ogromna, gęsta i gęsta sfera o średnicy około 93 miliardów kilometrów. Jest to najbardziej gęsta i najbardziej gęsta sfera w wszechświecie, a jej gęstość wynosi około 93 miliardów ton. Czarne dziury są odpowiedzialne za około 90% całkowitej masy wszechświata.",1-0-1,,,,,In what proces ciecz turns into gas below boiling point? <pad> Sublimacja</s>
Co to jest galaktyka?,1,1,1,"Galaktyka to ogromny układ gwiazd, gazu, pyłu i ciemnej materii, utrzymywany razem przez grawitację.",Co to jest galaktyka?,"Galaktyka to zbiór gwiazd, galaktyk i innych obiektów w przestrzeni kosmicznej.",1-1-1,"Jak określamy zbiór gwiazd, planet i pyłu kosmicznego?","Zbiór gwiazd, planet i pyłu kosmicznego nazywamy galaktyką.",1-1-1,Co to jest galaktykca?,"Galaktyka to zbiór gwiazd, galaktyk i innych obiektów w przestrzeni kosmicznej.",1-1-1,Czym jest ogromna struktura zawierająca miliardy gwiazd?,Gwiazda galaktyczna.,1-0-1,Co to jest galaxy?,"Galaktyka to zbiór gwiazd, które tworzą galaktykę. Galaktyki są uważane za galaktyki spiralne, ponieważ tworzą spiralne kształty wokół swoich okręgów.",1-0-1,,,,,"Jak określamy elementy składające się na jądro atomowe? <pad> Jest to skomplikowana i złożona struktura, która obejmuje wiele elementów. W jądrze atomowym znajdują się wszystkie atomy, które tworzą wszystkie cząsteczki w ciele. Wszystkie atomy składają się z cząsteczek, które są połączone ze sobą i tworzą jądro atomowe. Wszystkie atomy składają się z cząsteczek, które są połączone ze sobą i tworzą jądro atomowe. Wszystkie atom"
Co to jest kometa?,1,1,1,"Kometa to małe ciało niebieskie złożone z lodu i pyłu, które okrąża Słońce i tworzy ogon, gdy się do niego zbliża.",Co to jest kometa?,"Kometa to gwiazda w układzie Słońca, która może mieć tylko jeden obiekt w swoim środku i jest otoczona przez ogromną ilość gazu i pyłu.",1-0-1,Jak nazywa się ciało niebieskie z ogonem z pyłu i gazu?,Słońce,1-0-1,Co to jeest kometaa?,"Kometa je hvězda, která se pohybuje kolem Slunce a je známá jako hvězda letu.",0-0-0,Jak nazywamy obiekt z lodu i pyłu przemieszczający się w przestrzeni?,Obiektem z lodu i pyłu przemieszczającym się w przestrzeni nazywamy kometę.,1-1-1,Co to jest comet?,"Comet to gwiazda w Układzie Słonecznym, która osiąga średnicę około 150 milionów kilometrów. Jest to najbliższy obiekt w Układzie Słonecznym, obok Słońca, i jest uważany za jego najbliższy sąsiad. Comety są obserwowane przez astronomów od ponad 150 milionów lat.",1-0-0,,,,,"Jak nazywają się cząstkii tworzące jądro atomu? <pad> Próbki cząstek tworzących jądro atomu określa się jako nukleony. Nukleony to cząstki składowe jądra atomowego, które tworzą podstawę i rdzeń atomu. Nukleony składają się z dwóch lub więcej cząstek elementarnych, które są połączone siłą grawitacji. Nukleony są odpowiedzialne za wiązanie się cząstek w jądrze atomu i tworzą podstawę i rdzeń atomu. Nukleony są również"
Jaka jest największa gwiazda w naszym Układzie Słonecznym?,1,1,1,Największą gwiazdą w naszym Układzie Słonecznym jest Słońce.,Jaka jest największa gwiazda w naszym Układzie Słonecznym?,"Gwiazda, która jest największą gwiazdą w naszym Układzie Słonecznym, to gwiazda o nazwie Proxima Centauri. Jej średnica wynosi około 4,5 razy większa od Słońca, a jej masa wynosi około 150 milionów razy większa od masy Słońca. Proxima Centauri jest uważana za najbardziej jasną gwiazdę w naszym Układzie Słonecznym, a jej jasność jest około ośmiokrotnie większa od",1-0-1,Które ciało niebieskie jest największą gwiazdą w Układzie Słonecznym?,"Gwiazdą największą w Układzie Słonecznym jest gwiazda Gliese 581, która jest o 5% większa od Słońca.",1-0-1,Jaka jest najwiękasza gwiazda w naszym Układzie Słonecznym?,"Gwiazda, która jest największą gwiazdą w naszym Układzie Słonecznym, to gwiazda o nazwie Proxima Centauri. Jej średnica wynosi około 150 razy większa od Słońca. Proxima jest uważana za najbardziej jasną gwiazdę w naszym Układzie Słonecznym, a jej jasność wynosi około 500 razy większa od Słońca.",1-0-1,Jakie jest największe gwiezdne ciało naszego Układu?,Gwiazda o nazwie Orion jest największym obiektem w Układzie Słonecznym. Jego średnica wynosi 120 razy większa niż średnica Ziemi.,0-0-1,Jaka jest największa star w Układzie Słonecznym?,"Największą gwiazdą w Układzie Słonecznym jest gwiazda Gliese 581, która jest o około 2,5 razy większa od Słońca.",1-0-1,,,,,Które cząstki wchodzą w skład jądra atomowego? <pad> - Neutrony. - Promienie alfa. - Neutrony alfa. - Neutrony beta.</s>
Kto był pierwszym cesarzem Chin?,1,1,1,Pierwszym cesarzem zjednoczonych Chin był Qin Shi Huang.,Kto był pierwszym cesarzem Chin?,Królem pierwszego cesarza Chin był Qin Shi Huang.,1-1-1,Kto został pierwszym władcą Cesarstwa Chińskiego?,Królem pierwszego Cesarstwa Chińskiego był Chiang Kai-shek.,1-0-1,Kto był pierszszym cesarzem Chin?,"Chiński cesarz pierwszy, Qin Shi Huang, rządził od 221 roku p.n.e. do 221 roku p.n.e.",0-0-1,Jak nazywał się pierwszy w historii cesarz Chin?,"Chiński cesarz pierwszego dynastii, który panował od 221 roku p.n.e. do 220 roku p.n.e., był znany jako Qin Shi Huang.",0-0-1,Kto był pierwszym emperor Chin?,Chiński cesarz Qin Shi Huang był pierwszym cesarzem Chin.,1-1-1,,,,,What are the particles tworzące atomic jądro? <pad> Protony i neutrony.</s>
Jakie miasto było pierwszą stolicą Stanów Zjednoczonych?,1,1,1,Pierwszą stolicą USA była Filadelfia.,Jakie miasto było pierwszą stolicą Stanów Zjednoczonych?,Filadelfia była pierwszą stolicą Stanów Zjednoczonych.,1-1-1,W którym mieście znajdowała się początkowa stolica USA?,Filadelfia.,1-1-1,Jakie miasto było pierwsszą stolicą Stanów Zjednoczonych?,Filadelfia.,1-1-1,Gdzie mieściła się pierwsza stolica USA?,Filadelfia.,1-1-1,Jakie miasto było pierwszą capital USA?,Waszyngton była pierwszą stolicą Stanów Zjednoczonych.,1-0-1,,,,,Jak określa się proces zmiany cieczy w substancję stałą? <pad> Sublimacja</s>
W którym roku Stany Zjednoczone ogłosiły niepodległość?,1,1,1,W roku 1776.,W którym roku Stany Zjednoczone ogłosiły niepodległość?,4 lipca 1776,1-1-1,Kiedy USA zadeklarowały niezależność?,4 lipca 1776,1-1-1,W ktorym roku Stany Zjjednoczone ogłosiły niepodległość?,4 lipca 1776,1-1-1,Jaki rok jest datą niepodległości USA?,4 lipca 1776,1-1-1,W którym roku USA declared independence?,4 lipca 1776,1-1-1,,,,,Jak nazywa się przemiana cieczy w ciałoo stałe? <pad> Sublimacja</s>
W którym roku człowiek po raz pierwszy wylądował na Księżycu?,1,1,1,W roku 1969.,W którym roku człowiek po raz pierwszy wylądował na Księżycu?,1969 r.,1-1-1,Kiedy człowiek po raz pierwszy postawił stopę na Księżycu?,1969 r.,1-1-1,W ktorum roku czlowiek po raz pierwszy wyladowal na Ksiezycu?,1969 r.,1-1-1,Jaka jest data pierwszego lądowania człowieka na Księżycu?,Data pierwszego lądowania człowieka na Księżycu to 20 lipca 1969 roku.,1-1-1,Kiedy człowiek first landed na Księżycu?,1969 r.,1-1-1,,,,,"Co to za proces, gdy ciecz staje się ciałem stałym? <pad> Sublimacja</s>"
Które imperium było największym przylegającym imperium lądowym w historii?,0,1,0,Imperium Mongolskie.,Które imperium było największym przylegającym imperium lądowym w historii?,Imperium Brytyjskie było największym przylegającym imperium lądowym w historii. Obejmowało ponad 200 000 kilometrów kwadratowych i trwało od 1815 do 1939 roku.,1-0-1,Jakie imperium lądowe było największe pod względem powierzchni?,Imperium Brytyjskie było największym imperium pod względem powierzchni lądowej. Obejmowało ponad 60% świata i obejmowało ponad 200 krajów.,1-0-1,Które imperjum było najwiekszym przylegającym imperium lądowym?,"Imperium Mongolskie było największym imperium lądowym, obejmującym ponad 200000 km2 lub 100000 mil.",1-1-1,Które imperium lądowe obejmowało największy teren?,Imperium Rosyjskie obejmowało największy teren na lądzie.,1-0-1,Które imperium było largest land empire w historii?,"Imperium Brytyjskie było największym imperium lądowym w historii. Obejmowało ponad 200 000 kilometrów kwadratowych i trwało od 1815 do 1939 roku. Imperium Brytyjskie było częścią Imperium Rosyjskiego, które trwało od 1453 do 1991 roku.",1-0-1,,,,,What’s the name of proces zamiany cieczy w solid? <pad> Sublimacja</s>
Która starożytna egipska budowla znana jest ze swojego trójkątnego kształtu?,1,1,1,Piramida – najbardziej znana to Wielka Piramida w Gizie.,Która starożytna egipska budowla znana jest ze swojego trójkątnego kształtu?,"Giza, Khufu",1-1-1,Jaką nazwę nosi egipska struktura o formie trójkąta?,"Giza, Khufu",1-1-1,Która starożytna egipska budowla znana jest ze swojego trójkątnego kszałtu?,"Giza, Khufu",1-1-1,Jak nazywa się znana budowla w kształcie trójkąta z Egiptu?,"Giza, Khufu",1-1-1,Która egipska structure ma trójkątny kształt?,"Giza, Khufu",1-1-1,,,,,Jak wygląda chemiczna formuła tlenu? <pad> Tlen jest wyrażony za pomocą formuły H2O.</s>
Kto był premierem Wielkiej Brytanii przez większą część II wojny światowej?,1,1,1,Winston Churchill.,Kto był premierem Wielkiej Brytanii przez większą część II wojny światowej?,Winston Churchill był premierem Wielkiej Brytanii przez większą część II wojny światowej.,1-1-1,Kto przewodził rządowi UK podczas większości II wojny światowej?,Winston Churchill był premierem Zjednoczonego Królestwa przez większość II wojny światowej.,1-1-1,Kto był premeirem Wielkiej Brytanii przez większą część II wojny światowej?,Winston Churchill był premierem Wielkiej Brytanii przez większą część II wojny światowej.,1-1-1,Jak nazywał się premier Wielkiej Brytanii w czasie większości II wojny?,Winston Churchill był premierem Wielkiej Brytanii przez większość II wojny światowej.,1-1-1,Kto był prime minister UK w II wojnie światowej?,Winston Churchill był brytyjskim premierem w czasie II wojny światowej.,1-1-1,,,,,Jaki jest wzór chemicznny tlenu? <pad> Wzór chemiczny tlenu to H.</s>
W którym roku zatonął Titanic?,1,1,1,W roku 1912.,W którym roku zatonął Titanic?,Titanic zatonął w 1912 roku.,1-1-1,Kiedy miała miejsce katastrofa Titanica?,Katastrofa Titanica miała miejsce 14 kwietnia 1912 roku.,1-1-1,W którym rooku zatonął Titanic?,Titanic zatonął w nocy z 14 na 15 kwietnia 1912 roku.,1-1-1,Jaka była data zatonięcia Titanica?,Titanic zatonął 14 kwietnia 1912 roku.,1-1-1,W którym roku Titanic sank?,Titanic zatonął w 1912 roku.,1-1-1,,,,,W jaki sposób zapisuje się skład chemiczny tlenu? <pad> W języku angielskim skład chemiczny tlenu zapisuje się za pomocą symbolu H.</s>
Kto był pierwszym czarnym prezydentem Republiki Południowej Afryki?,1,1,1,Nelson Mandela.,Kto był pierwszym czarnym prezydentem Republiki Południowej Afryki?,Nelson Mandela,1-1-1,Jak nazywał się pierwszy czarnoskóry prezydent RPA?,Nelson Mandela,1-1-1,Kto był pierwszym czarnym prezydentem Republiki Poludniowej Afryki?,Nelson Mandela,1-1-1,Kto jako pierwszy Afroafrykanin został prezydentem RPA?,Nelson Mandela,1-1-1,Kto był pierwszym black president RPA?,Nelson Mandela,1-1-1,,,,,What is the chemical wzór of tlenu? <pad> The chemical wzór of tlenu is H.</s>
W którym roku miała miejsce rewolucja w Rosji?,1,1,1,W roku 1917.,W którym roku miała miejsce rewolucja w Rosji?,W 1917 roku.,1-1-1,Kiedy doszło do rosyjskiej rewolucji?,Odpowiedź to: 17 listopada 1917.,1-1-1,W ktorym roku miała miejsce rewolucja w Rosji?,W 1917 roku.,1-1-1,Kiedy miała miejsce przemiana ustrojowa w Rosji?,W latach 1917–1921.,1-1-1,W którym roku Russian revolution się wydarzyła?,Odpowiedź to: w 1917 roku.,1-1-1,,,,,
Jaka jest suma dziesięciu i pięciu?,1,1,1,15,Jaka jest suma dziesięciu i pięciu?,Suma dziesięciu i pięciu to 15.,1-1-1,Ile wynosi wynik dodania 10 i 5?,Odpowiedź to 15.,1-1-1,Jaka jest suma dziesieciu i pieciu?,Odpowiedź to 15.,1-1-1,Co otrzymamy po dodaniu dziesięciu do pięciu?,Odpowiedź to 15.,1-1-1,What is suma of 10 and five?,15,1-1-1,,,,,
Ile to jest siedem pomnożone przez trzy?,1,1,1,21,Ile to jest siedem pomnożone przez trzy?,Osiem pomnożony przez trzy to osiemdziesiąt trzy.,1-0-1,Jaki wynik daje 7 razy 3?,Odpowiedź to 9.,1-0-1,Ile to jest siedemm pomnożone przez trzy?,Osiem pomnożony przez trzy to osiemdziesiąt trzy.,1-0-1,Co uzyskamy mnożąc siedem przez trzy?,Osiem.,1-0-1,Ile to jest 7 times 3?,Odpowiedź to 9.,1-0-1,,,,,
Jaki jest pierwiastek kwadratowy z szesnastu?,1,1,1,4,Jaki jest pierwiastek kwadratowy z szesnastu?,Pierwiastek kwadratowy z szesnastu to sześć.,1-0-1,Ile wynosi kwadratowy pierwiastek z 16?,Pierwiastek kwadratowy z 16 to 4.,1-1-1,Jaki jest pierwiastek kwadratowyy z szesnastu?,Pierwiastek kwadratowy z 16 to 4.,1-1-1,"Jaką liczbę trzeba pomnożyć przez siebie, by otrzymać 16?","Aby otrzymać 16, trzeba pomnożyć przez siebie liczbę 8. Aby to zrobić, podziel liczbę 8 przez liczbę 16 i otrzymaj 8.",1-0-1,Jaki jest square root of 16?,The square root of 16 is 4.,1-1-0,,,,,
"Gdybyś odjął osiem od piętnastu, jaki byłby wynik?",1,1,1,7,"Gdybyś odjął osiem od piętnastu, jaki byłby wynik?",Odpowiedź to siedem.,1-0-1,Ile wynosi 15 minus 8?,Odpowiedź brzmi 9.,1-0-1,"Gdybys odjał osiem od piętnastu, jaki byłby wynik?",Odpowiedź brzmi: 13.,1-0-1,Co otrzymamy po odjęciu ośmiu od piętnastu?,Odpowiedź to siedem.,1-1-1,Ile wynosi 15 minus eight?,Odpowiedź brzmi 8.,1-0-1,,,,,
Jaka jest wartość dwudziestu podzielona przez cztery?,0,1,1,5,Jaka jest wartość dwudziestu podzielona przez cztery?,Dziewięćdziesiąt podzielona przez cztery to dwadzieścia.,0-0-1,Ile to jest 20 dzielone na 4?,Dzielenie 20 na 4 daje nam wynik 8.,1-0-1,Jaka jest wartosc dwudziestu podzielona przez cztery?,Dziewięćdziesiąt podzielona przez cztery to dwadzieścia.,0-0-1,Jakim wynikiem kończy się dzielenie 20 przez 4?,Dzielenie 20 przez 4 kończy się na 8.,0-0-1,Ile to jest 20 divided by 4?,20 dzieli się przez 4 równa się 160.,1-0-1,,,,,
Jaki jest iloczyn sześciu i dziewięciu?,1,1,1,54,Jaki jest iloczyn sześciu i dziewięciu?,Iloczyn sześciu i dziewięciu to dziewięć.,1-0-1,Ile wynosi wynik mnożenia 6 przez 9?,Wynik mnożenia 6 przez 9 to 18.,1-0-1,Jaki jest ilocczyn sześciu i dziewięciu?,Dziewiątka to ilocczyn sześciu.,1-0-1,"Co otrzymamy, gdy pomnożymy sześć przez dziewięć?",Osiem.,1-0-1,Jaki jest product 6 i 9?,Produkt 6 i 9 to 18.,1-0-1,,,,,
"Ile otrzymasz, jeśli dodasz dwanaście i osiemnaście?",1,1,1,30,"Ile otrzymasz, jeśli dodasz dwanaście i osiemnaście?",Odpowiedź to dwadzieścia dwa.,1-0-1,Ile wynosi 12 plus 18?,Odpowiedź brzmi dwadzieścia osiem.,1-0-1,"Ile otrzymasz, jesli dodasz dwanaście i osiemnascie?",Odpowiedź to dwadzieścia osiem.,1-0-1,Co daje suma liczby 12 i 18?,Suma liczby 12 i 18 to 24.,1-0-1,What do you get gdy dodasz 12 i 18?,Odpowiedź brzmi 24.,1-0-1,,,,,
"Jaki jest iloraz, gdy dzielisz trzydzieści przez pięć?",1,1,1,6,"Jaki jest iloraz, gdy dzielisz trzydzieści przez pięć?","Iloraz, gdy dzielisz trzydzieści przez pięć to dwadzieścia.",1-0-1,Ile to jest 30 podzielone na 5?,30 podzielone na 5 da nam równe 20.,1-0-1,"Jaki jest ilorazz, gdy dzielisz trzydziesci przez piec?",Dzielenie trzydziestego przez pięć daje nam dziesięć.,1-0-1,Co wychodzi z dzielenia 30 przez 5?,Dzielenie 30 przez 5 daje nam wynik równy 25.,1-0-1,Jaki jest quotient z 30 i 5?,"Quotient z 30 i 5 to 1,25.",1-0-0,,,,,
"Jeśli dodasz kwadrat trzech do kwadratu czterech, jaki będzie wynik?",0,0,0,25,"Jeśli dodasz kwadrat trzech do kwadratu czterech, jaki będzie wynik?",Odpowiedź to osiem.,1-0-1,Co otrzymasz dodając 3² i 4²?,Odpowiedź to 158. 32 + 42 = 158,1-0-1,"Jesli dodasz kwadrat trzeech do kwadratu czterech, jaki bedzie wynik?",Wynik to osiem.,1-0-1,Jaki wynik daje suma kwadratów 3 i 4?,Suma kwadratów 3 i 4 daje 9.,1-0-1,Co otrzymasz when you add 3 squared plus 4 squared?,Odpowiedź to 9.,1-0-1,,,,,
Jaka będzie reszta z dzielenia siedemnastu przez siedem?,1,1,1,3,Jaka będzie reszta z dzielenia siedemnastu przez siedem?,Reszta to dziewięćdziesiąt jeden.,1-0-1,Ile wynosi reszta po podzieleniu 17 przez 7?,Reszta to 14.,1-0-1,Jaka będzie reszta z dzielenja siedemnastu przez siedem?,Reszta to siedem.,1-0-1,Co pozostaje po podzieleniu 17 przez 7?,Po podzieleniu 17 przez 7 pozostaje 14.,1-0-1,Ile wynosi reszta po podzieleniu 17 by 7?,Reszta to 14.,1-0-1,,,,,
,47,49,48,,,,45-22-50,,,47-19-50,,,42-22-49,,,41-19-49,,,44-22-39,,,,,
,94%,98%,96%,,,,,,,,,,,,,,,,,,,,,